location,date,total_cases,new_cases,total_deaths
India,2019-12-31,0.0,0.0,0.0
India,2020-01-01,0.0,0.0,0.0
India,2020-01-02,0.0,0.0,0.0
India,2020-01-03,0.0,0.0,0.0
India,2020-01-04,0.0,0.0,0.0
India,2020-01-05,0.0,0.0,0.0
India,2020-01-06,0.0,0.0,0.0
India,2020-01-07,0.0,0.0,0.0
India,2020-01-08,0.0,0.0,0.0
India,2020-01-09,0.0,0.0,0.0
India,2020-01-10,0.0,0.0,0.0
India,2020-01-11,0.0,0.0,0.0
India,2020-01-12,0.0,0.0,0.0
India,2020-01-13,0.0,0.0,0.0
India,2020-01-14,0.0,0.0,0.0
India,2020-01-15,0.0,0.0,0.0
India,2020-01-16,0.0,0.0,0.0
India,2020-01-17,0.0,0.0,0.0
India,2020-01-18,0.0,0.0,0.0
India,2020-01-19,0.0,0.0,0.0
India,2020-01-20,0.0,0.0,0.0
India,2020-01-21,0.0,0.0,0.0
India,2020-01-22,0.0,0.0,0.0
India,2020-01-23,0.0,0.0,0.0
India,2020-01-24,0.0,0.0,0.0
India,2020-01-25,0.0,0.0,0.0
India,2020-01-26,0.0,0.0,0.0
India,2020-01-27,0.0,0.0,0.0
India,2020-01-28,0.0,0.0,0.0
India,2020-01-29,0.0,0.0,0.0
India,2020-01-30,1.0,1.0,0.0
India,2020-01-31,1.0,0.0,0.0
India,2020-02-01,1.0,0.0,0.0
India,2020-02-02,2.0,1.0,0.0
India,2020-02-03,2.0,0.0,0.0
India,2020-02-04,3.0,1.0,0.0
India,2020-02-05,3.0,0.0,0.0
India,2020-02-06,3.0,0.0,0.0
India,2020-02-07,3.0,0.0,0.0
India,2020-02-08,3.0,0.0,0.0
India,2020-02-09,3.0,0.0,0.0
India,2020-02-10,3.0,0.0,0.0
India,2020-02-11,3.0,0.0,0.0
India,2020-02-12,3.0,0.0,0.0
India,2020-02-13,3.0,0.0,0.0
India,2020-02-14,3.0,0.0,0.0
India,2020-02-15,3.0,0.0,0.0
India,2020-02-16,3.0,0.0,0.0
India,2020-02-17,3.0,0.0,0.0
India,2020-02-18,3.0,0.0,0.0
India,2020-02-19,3.0,0.0,0.0
India,2020-02-20,3.0,0.0,0.0
India,2020-02-21,3.0,0.0,0.0
India,2020-02-22,3.0,0.0,0.0
India,2020-02-23,3.0,0.0,0.0
India,2020-02-24,3.0,0.0,0.0
India,2020-02-25,3.0,0.0,0.0
India,2020-02-26,3.0,0.0,0.0
India,2020-02-27,3.0,0.0,0.0
India,2020-02-28,3.0,0.0,0.0
India,2020-02-29,3.0,0.0,0.0
India,2020-03-01,3.0,0.0,0.0
India,2020-03-02,3.0,0.0,0.0
India,2020-03-03,5.0,2.0,0.0
India,2020-03-04,6.0,1.0,0.0
India,2020-03-05,28.0,22.0,0.0
India,2020-03-06,29.0,1.0,0.0
India,2020-03-07,31.0,2.0,0.0
India,2020-03-08,34.0,3.0,0.0
India,2020-03-10,44.0,10.0,0.0
India,2020-03-11,50.0,6.0,0.0
India,2020-03-12,73.0,23.0,0.0
India,2020-03-13,75.0,2.0,1.0
India,2020-03-14,83.0,8.0,2.0
India,2020-03-15,90.0,7.0,2.0
India,2020-03-16,93.0,3.0,2.0
India,2020-03-17,125.0,32.0,3.0
India,2020-03-18,137.0,12.0,3.0
India,2020-03-19,165.0,28.0,3.0
India,2020-03-20,191.0,26.0,4.0
India,2020-03-21,231.0,40.0,4.0
India,2020-03-22,320.0,89.0,4.0
India,2020-03-23,439.0,119.0,7.0
India,2020-03-24,492.0,53.0,9.0
India,2020-03-25,562.0,70.0,9.0
India,2020-03-26,649.0,87.0,13.0
India,2020-03-27,724.0,75.0,17.0
India,2020-03-28,873.0,149.0,19.0
India,2020-03-29,979.0,106.0,25.0
India,2020-03-30,1071.0,92.0,29.0
India,2020-03-31,1251.0,180.0,32.0
India,2020-04-01,1397.0,146.0,35.0
India,2020-04-02,1965.0,568.0,50.0
India,2020-04-03,2301.0,336.0,56.0
India,2020-04-04,2902.0,601.0,68.0
India,2020-04-05,3374.0,472.0,77.0
India,2020-04-06,4067.0,693.0,109.0
India,2020-04-07,4421.0,354.0,114.0
India,2020-04-08,5194.0,773.0,149.0
India,2020-04-09,5734.0,540.0,166.0
India,2020-04-10,6412.0,678.0,199.0
India,2020-04-11,7447.0,1035.0,239.0
India,2020-04-12,8356.0,909.0,273.0
India,2020-04-13,9152.0,796.0,308.0
India,2020-04-14,10363.0,1211.0,339.0
India,2020-04-15,11438.0,1075.0,377.0
India,2020-04-16,12380.0,942.0,414.0
India,2020-04-17,13387.0,1007.0,437.0
India,2020-04-18,14378.0,991.0,480.0
India,2020-04-19,15712.0,1334.0,507.0
India,2020-04-20,17265.0,1553.0,543.0
India,2020-04-21,18600.0,1335.0,590.0
India,2020-04-22,19984.0,1384.0,640.0
India,2020-04-23,21393.0,1409.0,681.0
India,2020-04-24,23077.0,1684.0,718.0
India,2020-04-25,24506.0,1429.0,775.0
India,2020-04-26,26496.0,1990.0,824.0
India,2020-04-27,27892.0,1396.0,872.0
India,2020-04-28,29435.0,1543.0,934.0
India,2020-04-29,31332.0,1897.0,1007.0
India,2020-04-30,33050.0,1718.0,1074.0
India,2020-05-01,35043.0,1993.0,1147.0
India,2020-05-02,37336.0,2293.0,1218.0
India,2020-05-03,39980.0,2644.0,1301.0
India,2020-05-04,42533.0,2553.0,1373.0
India,2020-05-05,46433.0,3900.0,1568.0
India,2020-05-06,49391.0,2958.0,1694.0
India,2020-05-07,52952.0,3561.0,1783.0
India,2020-05-08,56342.0,3390.0,1886.0
India,2020-05-09,59662.0,3320.0,1981.0
India,2020-05-10,62939.0,3277.0,2109.0
India,2020-05-11,67152.0,4213.0,2206.0
India,2020-05-12,70756.0,3604.0,2293.0
India,2020-05-13,74281.0,3525.0,2415.0
India,2020-05-14,78003.0,3722.0,2549.0
India,2020-05-15,81970.0,3967.0,2649.0
India,2020-05-16,85940.0,3970.0,2752.0
India,2020-05-17,90927.0,4987.0,2872.0
India,2020-05-18,96169.0,5242.0,3029.0
India,2020-05-19,101139.0,4970.0,3163.0
India,2020-05-20,106750.0,5611.0,3303.0
India,2020-05-21,112359.0,5609.0,3435.0
India,2020-05-22,118447.0,6088.0,3583.0
India,2020-05-23,125101.0,6654.0,3720.0
India,2020-05-24,131868.0,6767.0,3867.0
India,2020-05-25,138845.0,6977.0,4021.0
India,2020-05-26,145380.0,6535.0,4167.0
India,2020-05-27,151767.0,6387.0,4337.0
India,2020-05-28,158333.0,6566.0,4531.0
India,2020-05-29,165799.0,7466.0,4706.0
India,2020-05-30,173763.0,7964.0,4971.0
India,2020-05-31,182143.0,8380.0,5164.0
India,2020-06-01,190535.0,8392.0,5394.0
India,2020-06-02,198706.0,8171.0,5598.0
India,2020-06-03,207615.0,8909.0,5815.0
India,2020-06-04,216919.0,9304.0,6075.0
India,2020-06-05,226770.0,9851.0,6348.0
India,2020-06-06,236657.0,9887.0,6642.0
India,2020-06-07,246628.0,9971.0,6929.0
India,2020-06-08,256611.0,9983.0,7135.0
India,2020-06-09,266598.0,9987.0,7466.0
India,2020-06-10,276583.0,9985.0,7745.0
India,2020-06-11,286579.0,9996.0,8102.0
India,2020-06-12,297535.0,10956.0,8498.0
India,2020-06-13,308993.0,11458.0,8884.0
India,2020-06-14,320922.0,11929.0,9195.0
India,2020-06-15,332424.0,11502.0,9520.0
India,2020-06-16,343091.0,10667.0,9900.0
India,2020-06-17,354065.0,10974.0,11903.0
India,2020-06-18,366946.0,12881.0,12237.0
India,2020-06-19,380532.0,13586.0,12573.0
India,2020-06-20,395048.0,14516.0,12948.0
India,2020-06-21,410461.0,15413.0,13254.0
India,2020-06-22,425282.0,14821.0,13699.0
India,2020-06-23,440215.0,14933.0,14011.0
India,2020-06-24,456183.0,15968.0,14476.0
India,2020-06-25,473105.0,16922.0,14894.0
India,2020-06-26,490401.0,17296.0,15301.0
India,2020-06-27,508953.0,18552.0,15685.0
India,2020-06-28,528859.0,19906.0,16095.0
