TransactionID , date ,Product,Revenue
3000,"Feb 01, 2023",B,216.53
3001,"Feb 02, 2023",B,181.56
3002,"Feb 03, 2023",B,305.78
3003,"Feb 04, 2023",A,402.62
3004,"Feb 05, 2023",B,231.42
3005,"Feb 06, 2023",B,175.0
3006,"Feb 07, 2023",C,491.08
3007,"Feb 08, 2023",A,301.69
3008,"Feb 09, 2023",C,417.55
3009,"Feb 10, 2023",B,239.55
3010,"Feb 11, 2023",B,204.81
3011,"Feb 12, 2023",A,121.49
3012,"Feb 13, 2023",C,120.27
3013,"Feb 14, 2023",B,424.59
3014,"Feb 15, 2023",A,206.58
3015,"Feb 16, 2023",B,139.41
3016,"Feb 17, 2023",A,280.76
3017,"Feb 18, 2023",C,332.31
3018,"Feb 19, 2023",C,363.82
3019,"Feb 20, 2023",C,431.65
3020,"Feb 21, 2023",A,210.07
3021,"Feb 22, 2023",C,347.2
3022,"Feb 23, 2023",A,474.93
3023,"Feb 24, 2023",B,421.54
3024,"Feb 25, 2023",A,101.32
3025,"Feb 26, 2023",B,310.56
3026,"Feb 27, 2023",B,316.47
3027,"Feb 28, 2023",C,289.59
3028,"Mar 01, 2023",B,329.64
3029,"Mar 02, 2023",C,106.14
3030,"Mar 03, 2023",C,460.38
3031,"Mar 04, 2023",C,272.15
3032,"Mar 05, 2023",A,188.18
3033,"Mar 06, 2023",C,378.27
3034,"Mar 07, 2023",B,221.48
3035,"Mar 08, 2023",A,350.28
3036,"Mar 09, 2023",A,151.25
3037,"Mar 10, 2023",A,315.85
3038,"Mar 11, 2023",A,231.44
3039,"Mar 12, 2023",B,152.05
3040,"Mar 13, 2023",C,250.78
3041,"Mar 14, 2023",B,497.65
3042,"Mar 15, 2023",C,103.67
3043,"Mar 16, 2023",C,277.19
3044,"Mar 17, 2023",B,471.98
3045,"Mar 18, 2023",B,271.31
3046,"Mar 19, 2023",A,485.76
3047,"Mar 20, 2023",C,492.17
3048,"Mar 21, 2023",A,130.51
3049,"Mar 22, 2023",C,219.21
3050,"Mar 23, 2023",C,448.65
3051,"Mar 24, 2023",B,300.42
3052,"Mar 25, 2023",C,166.58
3053,"Mar 26, 2023",A,124.89
3054,"Mar 27, 2023",B,240.52
3055,"Mar 28, 2023",C,446.7
3056,"Mar 29, 2023",B,145.44
3057,"Mar 30, 2023",A,258.8
3058,"Mar 31, 2023",A,165.18
3059,"Apr 01, 2023",A,159.26
3060,"Apr 02, 2023",C,331.37
3061,"Apr 03, 2023",B,419.15
3062,"Apr 04, 2023",B,465.84
3063,"Apr 05, 2023",B,261.27
3064,"Apr 06, 2023",B,412.17
3065,"Apr 07, 2023",C,146.39
3066,"Apr 08, 2023",B,252.49
3067,"Apr 09, 2023",A,458.39
3068,"Apr 10, 2023",C,180.26
3069,"Apr 11, 2023",A,460.03
3070,"Apr 12, 2023",C,120.04
3071,"Apr 13, 2023",A,404.99
3072,"Apr 14, 2023",C,199.41
3073,"Apr 15, 2023",A,248.64
3074,"Apr 16, 2023",A,127.03
3075,"Apr 17, 2023",A,185.5
3076,"Apr 18, 2023",C,139.35
3077,"Apr 19, 2023",A,122.64
3078,"Apr 20, 2023",A,495.04
3079,"Apr 21, 2023",C,146.94
3080,"Apr 22, 2023",A,150.49
3081,"Apr 23, 2023",C,476.69
3082,"Apr 24, 2023",C,412.39
3083,"Apr 25, 2023",B,376.36
3084,"Apr 26, 2023",A,340.06
3085,"Apr 27, 2023",A,469.2
3086,"Apr 28, 2023",B,171.96
3087,"Apr 29, 2023",B,369.77
3088,"Apr 30, 2023",C,149.16
3089,"May 01, 2023",A,409.66
3090,"May 02, 2023",A,423.47
3091,"May 03, 2023",C,445.45
3092,"May 04, 2023",C,293.32
3093,"May 05, 2023",C,415.63
3094,"May 06, 2023",B,346.12
3095,"May 07, 2023",B,177.37
3096,"May 08, 2023",B,128.37
3097,"May 09, 2023",C,110.38
3098,"May 10, 2023",A,352.99
3099,"May 11, 2023",A,407.56
3100,"May 12, 2023",A,104.58
3101,"May 13, 2023",C,124.41
3102,"May 14, 2023",A,246.25
3103,"May 15, 2023",B,379.03
3104,"May 16, 2023",B,328.18
3105,"May 17, 2023",C,366.17
3106,"May 18, 2023",B,460.71
3107,"May 19, 2023",B,359.36
3108,"May 20, 2023",B,148.57
3109,"May 21, 2023",C,451.33
3110,"May 22, 2023",B,407.89
3111,"May 23, 2023",A,474.86
3112,"May 24, 2023",C,497.75
3113,"May 25, 2023",C,142.77
3114,"May 26, 2023",B,109.57
3115,"May 27, 2023",B,268.81
3116,"May 28, 2023",B,302.47
3117,"May 29, 2023",A,273.83
3118,"May 30, 2023",B,204.4
3119,"May 31, 2023",B,315.02
3120,"Jun 01, 2023",B,446.9
3121,"Jun 02, 2023",B,448.88
3122,"Jun 03, 2023",A,227.35
3123,"Jun 04, 2023",B,432.05
3124,"Jun 05, 2023",B,139.81
