trans_id,SALE DATE,Product,Revenue
2000,01/01/2023,C,189.66
2001,02/01/2023,C,428.7
2002,03/01/2023,B,404.98
2003,04/01/2023,B,401.59
2004,05/01/2023,B,229.89
2005,06/01/2023,B,111.22
2006,07/01/2023,A,481.97
2007,08/01/2023,B,287.73
2008,09/01/2023,C,197.47
2009,10/01/2023,A,229.37
2010,11/01/2023,C,202.47
2011,12/01/2023,A,237.46
2012,13/01/2023,C,441.36
2013,14/01/2023,A,139.83
2014,15/01/2023,A,347.41
2015,16/01/2023,C,391.09
2016,17/01/2023,B,173.73
2017,18/01/2023,C,185.0
2018,19/01/2023,C,227.93
2019,20/01/2023,C,189.81
2020,21/01/2023,A,250.77
2021,22/01/2023,C,322.04
2022,23/01/2023,A,144.09
2023,24/01/2023,B,259.92
2024,25/01/2023,C,294.3
2025,26/01/2023,B,460.17
2026,27/01/2023,C,190.66
2027,28/01/2023,B,210.79
2028,29/01/2023,B,352.2
2029,30/01/2023,A,214.2
2030,31/01/2023,B,422.59
2031,01/02/2023,C,379.3
2032,02/02/2023,C,136.65
2033,03/02/2023,B,124.63
2034,04/02/2023,B,361.5
2035,05/02/2023,C,267.96
2036,06/02/2023,C,294.65
2037,07/02/2023,B,315.81
2038,08/02/2023,A,482.0
2039,09/02/2023,A,103.98
2040,10/02/2023,C,457.62
2041,11/02/2023,B,221.03
2042,12/02/2023,A,136.85
2043,13/02/2023,C,275.11
2044,14/02/2023,A,303.51
2045,15/02/2023,B,338.6
2046,16/02/2023,B,451.09
2047,17/02/2023,C,443.07
2048,18/02/2023,C,409.6
2049,19/02/2023,C,389.49
2050,20/02/2023,C,318.26
2051,21/02/2023,B,324.06
2052,22/02/2023,C,267.25
2053,23/02/2023,A,186.01
2054,24/02/2023,B,369.09
2055,25/02/2023,C,237.15
2056,26/02/2023,B,123.27
2057,27/02/2023,C,137.94
2058,28/02/2023,B,287.21
2059,01/03/2023,C,194.19
2060,02/03/2023,C,322.34
2061,03/03/2023,A,390.72
2062,04/03/2023,B,443.63
2063,05/03/2023,A,169.74
2064,06/03/2023,A,381.5
2065,07/03/2023,A,478.96
2066,08/03/2023,C,330.7
2067,09/03/2023,A,389.98
2068,10/03/2023,C,353.34
2069,11/03/2023,C,128.86
2070,12/03/2023,B,183.31
2071,13/03/2023,C,103.55
2072,14/03/2023,C,479.27
2073,15/03/2023,A,259.89
2074,16/03/2023,C,386.42
2075,17/03/2023,B,214.34
2076,18/03/2023,C,136.21
2077,19/03/2023,C,364.9
2078,20/03/2023,A,103.98
2079,21/03/2023,C,432.32
